"gsis_id","PlayerName","PlayerPosition","season","FP","Targets","Reception","Receiving_TDs","WOPR","WR_Rank","n","All_time_n","Expected_FP","WOPR_Change_yty","NY_WR_Rank","TD_Change_yty"
"00-0036331","Devin Duvernay","WR",2020,47.1,26,20,0,0.121049048176693,"WR4+",14,14,31.6017399437889,NA,NA,NA
"00-0036340","Antonio Gandy-Golden","WR",2020,3.5,7,1,0,0.0310306760198538,"WR4+",4,4,3.7852286611058,NA,NA,NA
"00-0036357","Henry Ruggs","WR",2020,88.1,43,26,2,0.227961742003054,"WR3",13,13,39.4672779483005,NA,NA,NA
"00-0036358","CeeDee Lamb","WR",2020,211.7,111,74,5,0.395778294875796,"WR3",16,16,141.670481007551,NA,NA,NA
"00-0036365","Bryan Edwards","WR",2020,36.3,15,11,1,0.0586508427186616,"WR4+",9,9,24.3818040117792,NA,NA,NA
"00-0036377","Joe Reed","WR",2020,8.9,1,0,0,0.000935391009906458,"WR4+",3,3,2.61476556475842,NA,NA,NA
"00-0036382","K.J. Hill","WR",2020,14.3,11,7,0,0.0366708382675567,"WR4+",5,5,8.89349880562762,NA,NA,NA
"00-0036387","Jalen Reagor","WR",2020,79.2,54,31,1,0.21258367722984,"WR3",11,11,65.957658512226,NA,NA,NA
"00-0036398","John Hightower","WR",2020,26.7,29,10,0,0.151811273340088,"WR4+",10,10,20.281855403028,NA,NA,NA
"00-0036407","Jerry Jeudy","WR",2020,155.6,113,52,3,0.500601502794826,"WR1",16,16,116.8191237244,NA,NA,NA
"00-0036410","Tee Higgins","WR",2020,196.6,108,67,6,0.441170354583761,"WR2",15,15,151.218567663778,NA,NA,NA
"00-0036412","K.J. Hamler","WR",2020,90.1,56,30,3,0.225434247071569,"WR3",12,12,60.4932815463055,NA,NA,NA
"00-0036415","Van Jefferson","WR",2020,46.9,31,19,1,0.138017680913411,"WR4+",13,13,31.5112171538705,NA,NA,NA
"00-0036427","Tyler Johnson","WR",2020,40.9,17,12,2,0.0603381921037589,"WR4+",10,10,26.0939839801316,NA,NA,NA
"00-0036439","Tyrie Cleveland","WR",2020,12.3,9,6,0,0.0339164256480495,"WR4+",5,5,11.1006607886523,NA,NA,NA
