"gsis_id","PlayerName","PlayerPosition","season","FP","Targets","Reception","Receiving_TDs","WOPR","WR_Rank","n","All_time_n","Expected_FP","WOPR_Change_yty","NY_WR_Rank","TD_Change_yty"
"00-0032009","Adam Humphries","WR",2020,57.8,35,23,2,0.160714026926366,"WR3",7,77,35.330157279339,NA,NA,NA
"00-0032054","Breshad Perriman","WR",2020,99.1,60,30,3,0.315415767911801,"WR2",12,62,64.1322079419542,NA,NA,NA
"00-0032098","Daniel Brown","WR",2020,5.1,2,2,0,0.00718366580745412,"WR4+",2,26,5.38603328232237,NA,NA,NA
"00-0032128","Chris Conley","WR",2020,99.1,63,40,2,0.237343155091247,"WR4+",14,75,69.8416588637042,NA,NA,NA
"00-0032211","Tyler Lockett","WR",2020,265.4,132,100,10,0.510136702178446,"WR2",16,94,173.936164952459,NA,NA,NA
"00-0032385","Sterling Shepard","WR",2020,160.5,90,66,3,0.368939637995013,"WR2",12,65,116.92834650565,NA,NA,NA
"00-0032464","Kalif Raymond","WR",2020,27.4,15,9,0,0.0894736460733591,"WR4+",8,18,20.9535929078005,NA,NA,NA
"00-0032543","Alex Erickson","WR",2020,26.6,17,12,0,0.0585916925168669,"WR4+",9,51,16.6250207099741,NA,NA,NA
"00-0032688","Robby Anderson","WR",2020,224.1,136,95,3,0.572163663397355,"WR1",16,76,152.578655671497,NA,NA,NA
"00-0032765","Michael Thomas","WR",2020,83.9,55,40,0,0.263276154791874,"WR2",7,70,74.1125455843849,NA,NA,NA
"00-0032775","Demarcus Robinson","WR",2020,109.6,59,45,3,0.207436485532816,"WR3",15,54,80.0820857277161,NA,NA,NA
"00-0032778","Tajae Sharpe","WR",2020,0,3,0,0,0.0272160778863192,"WR4+",3,46,0.133644123362105,NA,NA,NA
"00-0032791","Jakeem Grant","WR",2020,81.3,54,36,1,0.229675205414008,"WR2",14,45,65.769919578289,NA,NA,NA
"00-0032881","Tommylee Lewis","WR",2020,2.9,3,1,0,0.0163390121577581,"WR4+",4,22,1.84538641321694,NA,NA,NA
"00-0032951","Laquon Treadwell","WR",2020,22.9,7,6,2,0.0207347571298131,"WR4+",4,43,12.0029042704126,NA,NA,NA
"00-0032977","Rashard Higgins","WR",2020,120.9,52,37,4,0.269078850161143,"WR2",12,55,74.2758615492421,NA,NA,NA
"00-0032980","Marcus Johnson","WR",2020,39.5,28,14,0,0.159362554540276,"WR4+",8,26,29.4452545966565,NA,NA,NA
"00-0033006","Jaydon Mickens","WR",2020,12.8,10,7,0,0.032213253700747,"WR4+",2,6,16.3005772098282,NA,NA,NA
"00-0033009","Tyler Boyd","WR",2020,192.64,110,79,4,0.401403791049059,"WR3",15,71,137.798023325376,NA,NA,NA
"00-0033040","Tyreek Hill","WR",2020,328.9,135,87,15,0.548506653896562,"WR1",15,74,177.548255586524,NA,NA,NA
"00-0033111","Pharoh Cooper","WR",2020,12.3,8,5,0,0.0339066646554625,"WR4+",5,35,9.88370440283563,NA,NA,NA
"00-0033114","Mike Thomas","WR",2020,32.3,21,13,1,0.0768602986962493,"WR4+",10,23,20.3209828016082,NA,NA,NA
"00-0033127","Will Fuller","WR",2020,188.9,75,53,8,0.324093642244057,"WR2",11,53,107.494392184568,NA,NA,NA
"00-0033215","Cyril Grayson","WR",2020,0,3,0,0,0.0157611909408078,"WR4+",2,3,1.10433029883029,NA,NA,NA
"00-0033251","Zach Pascal","WR",2020,136.9,71,44,5,0.322294068740904,"WR2",16,41,92.3196677906293,NA,NA,NA
"00-0033266","JoJo Natson","WR",2020,0.3,NA,0,0,NA,"WR4+",1,4,0.254836153110146,NA,NA,NA
"00-0033282","Curtis Samuel","WR",2020,212.4,97,77,3,0.369153155960596,"WR3",15,51,134.972213635274,NA,NA,NA
"00-0033292","Trent Taylor","WR",2020,18.6,21,10,0,0.073448275862069,"WR4+",7,35,14.3129990085076,NA,NA,NA
"00-0033307","Kendrick Bourne","WR",2020,127.7,74,49,2,0.309640015157257,"WR2",15,56,106.636460563454,NA,NA,NA
"00-0033367","C.J. Board","WR",2020,21.4,16,11,0,0.070391184397699,"WR4+",9,11,18.4549973820262,NA,NA,NA
"00-0033375","Tim Patrick","WR",2020,161.2,79,51,6,0.338432439896141,"WR2",15,32,96.3212092601839,NA,NA,NA
"00-0033382","Austin Carr","WR",2020,11.7,4,3,1,0.0177710126261148,"WR4+",4,15,9.68353246350237,NA,NA,NA
"00-0033386","Cody Hollister","WR",2020,2.2,1,1,0,0.00466573917076069,"WR4+",1,2,2.30092846442598,NA,NA,NA
"00-0033460","John Ross","WR",2020,3.7,7,2,0,0.0291218257684743,"WR4+",2,26,4.07161807081761,NA,NA,NA
"00-0033466","Isaiah McKenzie","WR",2020,93.58,34,30,5,0.102181459532769,"WR4+",15,40,55.5181113398447,NA,NA,NA
"00-0033471","Isaiah Ford","WR",2020,55.6,44,28,0,0.177785349085168,"WR3",9,18,51.8198518197073,NA,NA,NA
"00-0033474","Gehrig Dieter","WR",2020,2,2,1,0,0.00664759552374231,"WR4+",1,3,3.36191813436523,NA,NA,NA
"00-0033481","Marcus Kemp","WR",2020,2.1,1,1,0,0.00243094061901401,"WR4+",1,3,2.93400033577911,NA,NA,NA
"00-0033536","Mike Williams","WR",2020,153.7,85,48,5,0.376078212551767,"WR2",14,54,98.8148885893895,NA,NA,NA
"00-0033555","Mack Hollins","WR",2020,39.6,25,16,1,0.102637398795833,"WR4+",9,36,22.4228514091248,NA,NA,NA
"00-0033572","Jamal Agnew","WR",2020,25.2,20,13,0,0.0617087239201272,"WR4+",13,13,17.7733045061606,NA,NA,NA
"00-0033589","David Moore","WR",2020,118.8,47,35,6,0.175624582285732,"WR3",16,43,58.1874473028308,NA,NA,NA
"00-0033591","Noah Brown","WR",2020,29.8,24,14,0,0.089123971131869,"WR4+",9,21,19.9645077379367,NA,NA,NA
"00-0033681","Keelan Cole","WR",2020,149.4,88,55,5,0.33820920156798,"WR2",16,56,96.7981970059059,NA,NA,NA
"00-0033733","Greg Ward","WR",2020,130.9,79,53,6,0.237165067771219,"WR2",16,22,69.9444856094158,NA,NA,NA
"00-0033839","Dede Westbrook","WR",2020,1.4,1,1,0,0.00285040418628205,"WR4+",1,39,0.0849941934540463,NA,NA,NA
"00-0033840","Chad Hansen","WR",2020,46.6,24,17,1,0.102155049845535,"WR4+",5,11,32.0285772601779,NA,NA,NA
"00-0033857","JuJu Smith-Schuster","WR",2020,234.1,128,97,9,0.392349623336456,"WR3",16,57,143.732984565239,NA,NA,NA
"00-0033859","Josh Malone","WR",2020,6.8,6,4,0,0.0194078038283916,"WR4+",1,13,5.63802844417475,NA,NA,NA
