"gsis_id","PlayerName","PlayerPosition","season","week.x","WK3_WOPR","WK3_Targets","WOPR_Change_wtw"
"00-0035934","Trishton Jackson","WR",2023,7,0.0453812316715543,0.333333333333333,NA
"00-0036165","Isaiah Hodgins","WR",2023,7,0.188771929824561,3,NA
"00-0036182","Nick Westbrook-Ikhine","WR",2023,6,0.361912511712778,4.33333333333333,NA
"00-0036196","Gabe Davis","WR",2023,7,0.366580940802394,5.66666666666667,NA
"00-0036233","Donovan Peoples-Jones","WR",2023,7,0.202447313251683,2.66666666666667,NA
"00-0036252","Michael Pittman","WR",2023,7,0.624753086419753,8.66666666666667,NA
"00-0036259","Jauan Jennings","WR",2023,7,0.388141025641026,4.66666666666667,NA
"00-0036261","Brandon Aiyuk","WR",2023,7,0.744355413105413,7.66666666666667,NA
"00-0036268","Laviska Shenault","WR",2023,6,0.040903765036713,1.33333333333333,NA
"00-0036271","Quez Watkins","WR",2023,5,0.127926796447475,1.66666666666667,NA
"00-0036309","Darnell Mooney","WR",2023,7,0.400577113908184,3.66666666666667,NA
"00-0036322","Justin Jefferson","WR",2023,5,0.605913800444718,9.33333333333333,NA
"00-0036326","Chase Claypool","WR",2023,3,0.422299729972997,4.66666666666667,NA
"00-0036345","K.J. Osborn","WR",2023,7,0.389348025711662,6.66666666666667,NA
"00-0036358","CeeDee Lamb","WR",2023,6,0.455962577055262,6,NA
"00-0036387","Jalen Reagor","WR",2023,7,0.113,0.333333333333333,NA
"00-0036407","Jerry Jeudy","WR",2023,7,0.514045584045584,5.66666666666667,NA
"00-0036410","Tee Higgins","WR",2023,6,0.368019242836227,5.33333333333333,NA
"00-0036415","Van Jefferson","WR",2023,7,0.185463681503285,2.33333333333333,NA
"00-0036497","Tim Jones","WR",2023,7,0.0815909090909091,1.33333333333333,NA
"00-0036550","Rashod Bateman","WR",2023,7,0.23359375,3,NA
"00-0036554","Nico Collins","WR",2023,6,0.486630269349456,6.33333333333333,NA
"00-0036613","Jaylen Waddle","WR",2023,7,0.593164830841857,8.33333333333333,NA
"00-0036849","Tutu Atwell","WR",2023,7,0.241363636363636,2.66666666666667,NA
"00-0036900","Ja'Marr Chase","WR",2023,6,0.907447716602646,13.6666666666667,NA
"00-0036912","DeVonta Smith","WR",2023,7,0.467869843527738,7,NA
"00-0036913","Kadarius Toney","WR",2023,7,0.178853208057147,4.33333333333333,NA
"00-0036936","Rondale Moore","WR",2023,7,0.237954096221382,5.33333333333333,NA
"00-0036963","Amon-Ra St. Brown","WR",2023,7,0.712125786163522,13.6666666666667,NA
"00-0036980","Elijah Moore","WR",2023,7,0.368518150722719,6,NA
"00-0036988","Josh Palmer","WR",2023,7,0.620404911544152,7.33333333333333,NA
"00-0037098","Samori Toure","WR",2023,7,0.186066166798211,2,NA
"00-0037216","Justyn Ross","WR",2023,5,0.118148047476669,2,NA
"00-0037238","Drake London","WR",2023,7,0.590272661735515,9.33333333333333,NA
"00-0037239","Chris Olave","WR",2023,7,0.572748066206438,10,NA
"00-0037247","George Pickens","WR",2023,7,0.834673580414825,8.33333333333333,NA
"00-0037257","David Bell","WR",2023,6,0.12595422158529,2.33333333333333,NA
"00-0037261","Khalil Shakir","WR",2023,7,0.101063780043019,2,NA
"00-0037273","Kyle Philips","WR",2023,6,0.137248046071575,1,NA
"00-0037420","Kwamie Lassiter","WR",2023,5,0.0302753623188406,0.333333333333333,NA
"00-0037487","Deven Thompkins","WR",2023,7,0.184163533834586,3.66666666666667,NA
"00-0037545","Rashid Shaheed","WR",2023,7,0.339366214755053,5.33333333333333,NA
"00-0037614","John Metchie","WR",2023,5,0.132311845030168,2,NA
"00-0037664","Alec Pierce","WR",2023,7,0.297789648622982,3.66666666666667,NA
"00-0037666","Jalen Tolbert","WR",2023,4,0.274168514412417,3,NA
"00-0037740","Garrett Wilson","WR",2023,6,0.847920098271867,11,NA
"00-0037741","Jahan Dotson","WR",2023,7,0.280827871188373,4.66666666666667,NA
"00-0037742","Treylon Burks","WR",2023,3,0.447197823552274,4.33333333333333,NA
"00-0037745","Velus Jones","WR",2023,7,0.0313511830635118,0.666666666666667,NA
"00-0037801","Kavontae Turpin","WR",2023,5,0.0770916905444126,1,NA
"00-0037816","Romeo Doubs","WR",2023,7,0.531130708821511,7.33333333333333,NA
"00-0037837","Calvin Austin","WR",2023,7,0.197934376062564,2,NA
"00-0038090","Skyy Moore","WR",2023,7,0.188252139777334,3,NA
"00-0038092","Erik Ezukanma","WR",2023,2,0.0273298429319372,0.5,NA
"00-0038104","Tyquan Thornton","WR",2023,7,0.190631469979296,1,NA
"00-0038117","Wan'Dale Robinson","WR",2023,7,0.305358851674641,5.33333333333333,NA
"00-0038124","Christian Watson","WR",2023,7,0.465445904389153,5.33333333333333,NA
"00-0038393","Dontayvion Wicks","WR",2023,7,0.0738137596258927,1,NA
"00-0038496","Xavier Gipson","WR",2023,6,0.0208333333333333,0.333333333333333,NA
"00-0038543","Jaxon Smith-Njigba","WR",2023,7,0.43032153032153,6,NA
"00-0038544","Quentin Johnston","WR",2023,7,0.235407630344339,2.33333333333333,NA
"00-0038559","Michael Wilson","WR",2023,7,0.258415053061851,3.66666666666667,NA
"00-0038563","Tre Tucker","WR",2023,7,0.162958303378864,2,NA
"00-0038573","Derius Davis","WR",2023,7,0.0691268960414354,1.66666666666667,NA
"00-0038576","Charlie Jones","WR",2023,3,0.0747093023255814,0.666666666666667,NA
"00-0038618","Xavier Hutchinson","WR",2023,6,0.0410923155785451,0.666666666666667,NA
"00-0038619","Andrei Iosivas","WR",2023,6,0.0945993802567508,1,NA
"00-0038621","Demario Douglas","WR",2023,7,0.259794017641551,3.66666666666667,NA
"00-0038752","Jake Bobo","WR",2023,7,0.218620268620269,2.66666666666667,NA
"00-0038938","Jalin Hyatt","WR",2023,7,0.415557638238051,3.66666666666667,NA
"00-0038941","Tyler Scott","WR",2023,7,0.196030510585305,2.33333333333333,NA
"00-0038979","Cedric Tillman","WR",2023,4,0.214171974522293,1,NA
"00-0038994","Jordan Addison","WR",2023,7,0.536157024793388,8,NA
"00-0038997","Josh Downs","WR",2023,7,0.452659069325736,6.66666666666667,NA
"00-0039052","Trey Palmer","WR",2023,7,0.29703007518797,4,NA
"00-0039062","Jonathan Mingo","WR",2023,6,0.263764784320807,5.33333333333333,NA
"00-0039064","Zay Flowers","WR",2023,7,0.60859375,8.33333333333333,NA
"00-0039067","Rashee Rice","WR",2023,7,0.255881974387026,5,NA
"00-0039075","Puka Nacua","WR",2023,7,0.747827050997783,10,NA
"00-0039146","Jayden Reed","WR",2023,7,0.305229115307393,3.66666666666667,NA
