"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","WK3_WOPR","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Steve Smith",2016,4,17.0666666666667,15.0666666666667,0.447735103463043,9.33333333333333,4500,-2.73092117796266,5.9,1.11320754716981,5300,4.13118223595458,3.8815804341359
"Steve Smith",2016,5,15.9,13.9,0.390781661791538,8.33333333333333,5300,-2.34196906073462,8.7,1.61111111111111,5400,3.98748040747538,3.72827037646145
"Steve Smith",2016,9,13.2333333333333,11.2333333333333,0.352929011158138,7,5400,-2.3110782817023,17,3.09090909090909,5500,3.63776488153555,3.35161652539985
"Steve Smith",2016,10,10.5333333333333,8.53333333333333,0.343457246628438,5.66666666666667,5500,-0.732518687963374,23.9,3.98333333333333,6000,3.24550971857016,2.92118697336089
"Steve Smith",2016,11,16.5333333333333,12.5333333333333,0.486760388496628,7.66666666666667,6000,-2.43227731696315,6,1,6000,4.06612018186051,3.54024481262713
"Steve Smith",2016,12,15.6333333333333,11.6333333333333,0.422199730094467,6.66666666666667,6000,-2.5596468554407,11.3,1.98245614035088,5700,3.95390102725566,3.41076726460973
"Steve Smith",2016,13,13.7333333333333,11.7333333333333,0.395038855385114,7.66666666666667,5700,-2.44785931006577,9.7,1.76363636363636,5500,3.70585122924995,3.4253953543107
"Steve Smith",2016,14,9,9,0.312794323191055,6.66666666666667,5500,-1.44917813277766,12,2.26415094339623,5300,3,3
"Steve Smith",2016,15,11,9,0.441683308084286,7.66666666666667,5300,-1.91192100273035,20.9,4.09803921568627,5100,3.3166247903554,3
"Steve Smith",2016,16,14.2,10.2,0.408973520758418,6.66666666666667,5100,-3.76541357969713,6.4,1.30612244897959,4900,3.76828873628335,3.19374388453426
"Andre Johnson",2015,1,3.2,3.2,0.424206142634045,5,6100,0.0147492637691435,5.7,0.982758620689655,5800,1.78885438199983,1.78885438199983
"Andre Johnson",2015,2,12.1,12.1,0.421177685950413,17,5800,0.747061637724183,0,0,5500,3.47850542618522,3.47850542618522
"Andre Johnson",2015,5,8.56666666666667,4.56666666666667,0.208046218487395,3.33333333333333,4100,-1.27034946877063,6.5,1.51162790697674,4300,2.92688685580203,2.13697605664328
"Andre Johnson",2015,6,10.7333333333333,6.73333333333333,0.28288648737832,5,4300,-1.28839982971342,8.4,1.95348837209302,4300,3.27617663341483,2.59486672747048
"Andre Johnson",2015,7,13.5333333333333,9.53333333333333,0.302911837021426,5.66666666666667,4300,-2.2827633245108,18.1,4.525,4000,3.67876790968571,3.08760964717584
"Andre Johnson",2015,8,11,9,0.301995783555868,6,4000,-1.98688379476185,0,0,4000,3.3166247903554,3
"Andre Johnson",2015,11,6.8,4.8,0.291666666666667,4.33333333333333,3700,-1.09245656479228,3.2,0.941176470588235,3400,2.60768096208106,2.19089023002066
"Andre Johnson",2015,12,1.83333333333333,1.83333333333333,0.171372804163956,2.66666666666667,3400,0.0797923510051994,6.4,1.93939393939394,3300,1.35400640077266,1.35400640077266
"Andre Johnson",2015,13,3.96666666666667,3.96666666666667,0.172694915254237,2.66666666666667,3300,0.0812130762088596,4.9,1.48484848484848,3300,1.99164923283862,1.99164923283862
"Andre Johnson",2015,14,4.83333333333333,4.83333333333333,0.18472850678733,3.66666666666667,3300,-0.389988717345561,6.2,1.77142857142857,3500,2.19848432637882,2.19848432637882
"Andre Johnson",2015,15,5.83333333333333,5.83333333333333,0.232418699186992,4.33333333333333,3500,-0.365541291728278,6.9,2.02941176470588,3400,2.41522945769824,2.41522945769824
"Andre Johnson",2015,16,6,6,0.297559523809524,5,3400,-0.141559137805972,14.6,4.42424242424242,3300,2.44948974278318,2.44948974278318
"Andre Johnson",2016,1,3,3,0.433676492371501,3.5,3900,-0.82104241078469,7.9,2.32352941176471,3400,1.73205080756888,1.73205080756888
"Andre Johnson",2016,2,13.9,7.9,0.292185714938537,9,3400,-2.31553426305818,0,0,3400,3.72827037646145,2.81069386451104
"Andre Johnson",2016,4,4.73333333333333,2.73333333333333,0.232261640798226,3.33333333333333,3200,-1.0210188263824,9.3,2.90625,3200,2.17562251627743,1.6532795690183
"Andre Johnson",2016,5,5.2,3.2,0.305548387096774,4,3200,-0.944942684991914,0,0,3100,2.28035085019828,1.78885438199983
"Anquan Boldin",2015,1,3.8,3.8,0.375373931623932,2.5,6200,-0.755599805779966,18,3.15789473684211,5700,1.94935886896179,1.94935886896179
"Anquan Boldin",2015,2,25.6,19.6,0.435214785214785,15,5700,-1.62925068952879,3.6,0.666666666666667,5400,5.05964425626941,4.42718872423573
"Anquan Boldin",2015,3,14.6,11.6,0.438616251005632,9.5,5400,-0.645235773302847,4.2,0.875,4800,3.82099463490856,3.40587727318528
"Anquan Boldin",2015,4,8.6,6.6,0.513853411732531,7,4800,-0.0978406616192249,24.7,5.61363636363636,4400,2.93257565972304,2.56904651573303
"Anquan Boldin",2015,5,10.8333333333333,8.83333333333333,0.666161576198766,7.66666666666667,4400,-1.42729605252639,15.2,3.53488372093023,4300,3.29140294302192,2.97209241668783
"Anquan Boldin",2015,6,14.7,12.7,0.680763209393346,9.33333333333333,4300,-2.32066980402082,6.9,1.53333333333333,4500,3.83405790253616,3.56370593624109
"Anquan Boldin",2015,7,15.6,13.6,0.675174819704957,9.33333333333333,4500,-2.89657641762614,14.3,3.575,4000,3.9496835316263,3.68781778291716
"Anquan Boldin",2015,11,12.1333333333333,12.1333333333333,0.533078703703704,7.66666666666667,4000,-0.859311752661727,17.3,4.325,4000,3.48329346069684,3.48329346069684
"Anquan Boldin",2015,12,12.8333333333333,12.8333333333333,0.565326923076923,8.33333333333333,4000,-0.773429765728071,8.7,2.12195121951219,4100,3.58236421003411,3.58236421003411
"Anquan Boldin",2015,13,13.4333333333333,13.4333333333333,0.650289110183103,10.3333333333333,4100,-1.00084976886431,4.2,1.05,4000,3.66515120197426,3.66515120197426
"Anquan Boldin",2015,14,10.0666666666667,10.0666666666667,0.586420117252314,9,4000,-1.00036497008081,21.4,5.48717948717949,3900,3.17280107581088,3.17280107581088
"Anquan Boldin",2015,15,11.4333333333333,9.43333333333333,0.472298073927662,8.66666666666667,3900,-2.36897380354501,7.7,2.08108108108108,3700,3.38132124077754,3.07137319994385
"Anquan Boldin",2015,16,11.1,9.1,0.286884139482565,6,3700,-2.4461686509888,18.1,5.17142857142857,3500,3.33166624979154,3.01662062579967
"Anquan Boldin",2016,1,3.25,3.25,0.129408212560386,1.5,4500,0.374384176691466,14.8,3.28888888888889,4500,1.80277563773199,1.80277563773199
"Anquan Boldin",2016,2,21.3,15.3,0.238431812515582,10,4500,0.961982406611381,12.2,2.9047619047619,4200,4.61519230368573,3.91152144312159
"Anquan Boldin",2016,3,16.75,10.75,0.255615942028986,8,4200,-1.07754501609066,9.1,2.16666666666667,4200,4.09267638593623,3.278719262151
"Anquan Boldin",2016,4,12.0333333333333,8.03333333333333,0.330058651026393,7,4200,-1.36642288830504,8.8,2.2,4000,3.46890953086605,2.83431355593084
"Anquan Boldin",2016,5,10.0333333333333,8.03333333333333,0.337888490900539,6,4000,-0.881247141547175,20,5.12820512820513,3900,3.16754373818789,2.83431355593084
"Anquan Boldin",2016,6,12.6333333333333,10.6333333333333,0.453619700055545,7,3900,-1.53571649721902,11.8,2.95,4000,3.55434007001769,3.26087922703883
"Anquan Boldin",2016,7,13.5333333333333,9.53333333333333,0.412986651835373,5.66666666666667,4000,-2.84035095520966,1.4,0.333333333333333,4200,3.67876790968571,3.08760964717584
"Anquan Boldin",2016,8,11.0666666666667,7.06666666666667,0.330770203217345,5.33333333333333,4200,-2.93589161627451,9,2.5,3600,3.32665998663324,2.65832027165025
"Anquan Boldin",2016,9,7.4,3.4,0.223613878134045,3.66666666666667,3600,-1.93569946835135,9.7,2.55263157894737,3800,2.72029410174709,1.84390889145858
"Anquan Boldin",2016,11,6.7,4.7,0.307801464394479,5.33333333333333,3800,-1.88205696015879,19.9,6.03030303030303,3300,2.58843582110896,2.16794833886788
"Anquan Boldin",2016,12,12.8666666666667,8.86666666666667,0.389315012305168,7.33333333333333,3300,-2.62314844266022,8,1.95121951219512,4100,3.58701361395056,2.97769485788364
"Anquan Boldin",2016,13,12.5333333333333,10.5333333333333,0.397929347623138,8,4100,-1.71789202563871,13.9,3.08888888888889,4500,3.54024481262713,3.24550971857016
"Anquan Boldin",2016,14,13.9333333333333,9.93333333333333,0.347266930368956,7,4500,-1.1546302248265,4.3,0.955555555555555,4500,3.73273804777851,3.15171910761942
"Anquan Boldin",2016,15,8.73333333333333,6.73333333333333,0.273127044661738,5.33333333333333,4500,-0.136274833504938,8.3,2.02439024390244,4100,2.95522136790687,2.59486672747048
"Anquan Boldin",2016,16,8.83333333333333,6.83333333333333,0.271784195026178,5.66666666666667,4100,-0.786872752479561,15.7,3.82926829268293,4100,2.97209241668783,2.61406452355969
"Malcom Floyd",2015,1,1.95,1.95,0.239048487612099,1,5300,-0.335241715344322,13.5,3.06818181818182,4400,1.39642400437689,1.39642400437689
"Malcom Floyd",2015,2,17.4,11.4,0.409234914672981,6,4400,-2.7143241750504,10.3,2.64102564102564,3900,4.17133072292284,3.37638860322683
"Malcom Floyd",2015,3,13.85,10.85,0.420743851531459,6.5,3900,-2.98884100272967,3,0.810810810810811,3700,3.72155881318568,3.29393381840012
"Malcom Floyd",2015,4,8.93333333333333,6.93333333333333,0.398969362469025,4.33333333333333,3700,-1.97612593696562,7.8,2.22857142857143,3500,2.98886823619465,2.63312235441753
"Malcom Floyd",2015,5,7.03333333333333,7.03333333333333,0.319693004173446,4.33333333333333,3500,-0.72317458803011,14.5,4.26470588235294,3400,2.65204323745548,2.65204323745548
"Malcom Floyd",2015,6,8.43333333333333,8.43333333333333,0.387450493127281,6,3400,-0.641375314423768,1.7,0.472222222222222,3600,2.90402020194993,2.90402020194993
"Malcom Floyd",2015,7,8,8,0.377422555088239,6.33333333333333,3600,-1.01570164006051,25.2,7.2,3500,2.82842712474619,2.82842712474619
"Malcom Floyd",2015,8,13.8,9.8,0.43979797979798,7,3500,-3.57042873244215,0,0,3900,3.71483512420134,3.13049516849971
"Malcom Floyd",2015,12,9.13333333333333,5.13333333333333,0.320510971260337,3.66666666666667,NA,-2.49243773152027,2.5,0.694444444444444,3600,3.0221405217715,2.26568606239552
"Malcom Floyd",2015,13,1.56666666666667,1.56666666666667,0.278577993697479,3,3600,0.0221774922088653,8.6,2.38888888888889,3600,1.25166555703457,1.25166555703457
"Malcom Floyd",2015,14,4.43333333333333,4.43333333333333,0.452469075201257,5.66666666666667,3600,-0.22734359821239,3.7,1.05714285714286,3500,2.10554822631383,2.10554822631383
"Malcom Floyd",2015,15,4.93333333333333,4.93333333333333,0.457552431586157,5.33333333333333,3500,-0.278599552480355,7.2,2.05714285714286,3500,2.22111083319436,2.22111083319436
"Malcom Floyd",2015,16,6.5,6.5,0.450136736554239,6,3500,-0.44537387248585,0,0,3500,2.54950975679639,2.54950975679639
"Wes Welker",2015,12,4.23333333333333,4.23333333333333,0.24105185800556,4.33333333333333,NA,-0.229037098138403,3.5,1.16666666666667,3000,2.05750658160146,2.05750658160146
"Wes Welker",2015,13,3.33333333333333,3.33333333333333,0.1839202739056,3.33333333333333,3000,-0.0547491750614458,2.1,0.7,3000,1.82574185835055,1.82574185835055
"Wes Welker",2015,14,2.93333333333333,2.93333333333333,0.155506493506493,2.66666666666667,3000,0.194701370447963,1.3,0.433333333333333,3000,1.71269767715535,1.71269767715535
"Wes Welker",2015,16,2.3,2.3,0.140959804371084,2,3000,-0.418255074243457,3.6,1.2,3000,1.51657508881031,1.51657508881031
"Jerricho Cotchery",2015,1,7.25,4.25,0.467629233511586,3,3000,-0.766597784968309,2.1,0.636363636363636,3300,2.69258240356725,2.06155281280883
"Jerricho Cotchery",2015,2,16.6,10.6,0.222395833333333,7,3300,-0.225107143688419,4.1,1.36666666666667,3000,4.07430975749267,3.25576411921994
"Jerricho Cotchery",2015,6,6.9,4.9,0.216094860061184,3.66666666666667,3000,-0.560008516453818,2.3,0.766666666666667,3000,2.62678510731274,2.21359436211787
"Jerricho Cotchery",2015,7,2.83333333333333,2.83333333333333,0.111351243516425,2,3000,0.399284582855268,3.8,1.26666666666667,3000,1.68325082306035,1.68325082306035
"Jerricho Cotchery",2015,8,3.4,3.4,0.157230485839282,2.66666666666667,3000,0.14546332441953,11.2,3.73333333333333,3000,1.84390889145858,1.84390889145858
"Jerricho Cotchery",2015,9,5.76666666666667,5.76666666666667,0.219971189104243,3.33333333333333,3000,-0.511057781165499,2.6,0.8125,3200,2.40138848724372,2.40138848724372
"Jerricho Cotchery",2015,10,5.86666666666667,5.86666666666667,0.26127858526184,4,3200,-0.705432249943437,9.7,3.23333333333333,3000,2.42212028327799,2.42212028327799
