"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","RBOPR_3","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","LCBM_Pred","Model_Pred","Pred_Diff_Group","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Chris Johnson",2012,17,12.6,8.6,0.399270739326623,1.66666666666667,NA,-3.38279150369532,NA,NA,NA,3.81607941662381,NA,"Nothing Special",3.54964786985977,2.93257565972304
"Chris Johnson",2013,1,7,7,0.220884557483559,0,NA,1.03004479486835,10.7,NA,NA,2.61367190230775,NA,"Nothing Special",2.64575131106459,2.64575131106459
"Chris Johnson",2013,2,8.85,8.85,0.306905258911915,0.5,NA,0.542283737139273,10.1,NA,NA,3.15294017023301,NA,"Nothing Special",2.9748949561287,2.9748949561287
"Chris Johnson",2013,3,9.26666666666667,9.26666666666667,0.287115714982805,1,NA,0.177776973411432,5.1,NA,NA,3.0786642245389,NA,"Nothing Special",3.0441200151549,3.0441200151549
"Chris Johnson",2013,4,8.63333333333333,8.63333333333333,0.28483413971908,1.66666666666667,NA,-0.208689559019335,18,NA,NA,3.11435044138398,NA,"Nothing Special",2.93825344947187,2.93825344947187
"Chris Johnson",2013,5,11.0666666666667,9.06666666666667,0.237957190546544,3,NA,-1.85132657437453,8.4,NA,NA,2.96816576369458,NA,"Nothing Special",3.32665998663324,3.01109061083632
"Chris Johnson",2013,6,10.5,8.5,0.248341148906333,3.66666666666667,NA,-1.78326691700549,21,NA,NA,3.13183140876682,NA,"Nothing Special",3.24037034920393,2.91547594742265
"Chris Johnson",2013,7,15.8,11.8,0.244731264743241,4.33333333333333,NA,-4.3604581860124,32,NA,NA,3.13512476255034,NA,"Nothing Special",3.97492138287036,3.43511280746353
"Chris Johnson",2013,9,20.4666666666667,14.4666666666667,0.27259322282529,4,NA,-5.61458943052886,12.3,NA,NA,3.30452153656038,NA,"Nothing Special",4.52401002061961,3.80350715349224
"Chris Johnson",2013,10,21.7666666666667,15.7666666666667,0.278629360747531,5,NA,-6.35729281833935,21.4,NA,NA,3.37131248156105,NA,"Nothing Special",4.66547603859099,3.9707262140151
"Chris Johnson",2013,11,21.9,13.9,0.301665976016013,4,NA,-5.73260087605133,11.1,NA,NA,3.45454188517729,NA,"Nothing Special",4.67974358271904,3.72827037646145
"Chris Johnson",2013,12,14.9333333333333,10.9333333333333,0.324285160575858,4.33333333333333,NA,-3.27261154749458,22.1,NA,NA,3.58509493081923,NA,"Nothing Special",3.86436713231718,3.3065591380366
"Chris Johnson",2013,13,18.2,12.2,0.293414743441495,4.33333333333333,NA,-3.71303275015432,13.5,NA,NA,3.41398076382148,NA,"Nothing Special",4.26614580154031,3.4928498393146
"Chris Johnson",2013,14,15.5666666666667,11.5666666666667,0.308580481294933,5,NA,-2.50526152108938,18.1,NA,NA,3.57022286259525,NA,"Nothing Special",3.94546152771341,3.40098025084926
"Chris Johnson",2013,15,17.9,11.9,0.267021835226115,4.33333333333333,NA,-3.24167306250669,10.3,NA,NA,3.21599301063647,NA,"Nothing Special",4.23083916026124,3.44963766213207
"Chris Johnson",2013,16,13.9666666666667,9.96666666666667,0.218283226400894,2.33333333333333,NA,-2.61040159574331,23.1,NA,NA,2.80389161627822,NA,"Nothing Special",3.73720037817972,3.15700279801375
