"FP","WOPR","LY2FP","LYFP","LY2Targets","LY2FPpTar","LY2TarShare","LY2Reception","LY2recyards","LY2airyards","LY2RACR","LY2FPpAY","LY2AYShare","LY2aDot","LY2TeamaDot","LY2aDotDiff","LY2GLTargets","LY2GLTarShare","LY2GLTDs","LY2RZTargets","LY2RZTarpTar","LY2RZTarpTeamTar","LY2RZTDs","LY2Rectd","LY2sumRecEPA","LY2sumRecWPA","LY2Rectdprob","LY2tdprobpRec","LY2sumRecep","LY2DeepTar","LY2DeepTarShare","LY2ShortTar","LY2ShortTarShare","LY2aggcpoe","LY2RZaggcpoe","LY2RecypTmAtt","LY2AYpTmAtt","LY2FPpTmAtt","LY2WOPR","LYTargets","LYFPpTar","LYTarShare","LYReception","LYrecyards","LYairyards","LYRACR","LYFPpAY","LYAYShare","LYaDot","LYTeamaDot","LYaDotDiff","LYGLTargets","LYGLTarShare","LYGLTDs","LYRZTargets","LYRZTarpTar","LYRZTarpTeamTar","LYRZTDs","LYRectd","LYsumRecEPA","LYsumRecWPA","LYRectdprob","LYtdprobpRec","LYsumRecep","LYDeepTar","LYDeepTarShare","LYShortTar","LYShortTarShare","LYaggcpoe","LYRZaggcpoe","LYRecypTmAtt","LYAYpTmAtt","LYFPpTmAtt","LYWOPR"
220.4,0.708712235384235,NA,260.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,2.034375,0.250980392156863,79,1394,1772,0.786681715575621,0.146952595936795,0.362372188139059,13.84375,38.203125,-3118,2,0.0952380952380952,0,11,0.0859375,0.0215686274509804,2,7,46.9757218864657,1.46662994356302,41.3369285017252,0.523252259515509,225.589206531236,9,0.692307692307692,54,0.186851211072664,615.760689973831,0,2.73333333333333,3.47450980392157,0.510588235294118,0.630131119932636
162.5,0.55758309629067,260.4,220.4,128,2.034375,0.250980392156863,79,1394,1772,0.786681715575621,0.146952595936795,0.362372188139059,13.84375,38.203125,-3118,2,0.0952380952380952,0,11,0.0859375,0.0215686274509804,2,7,46.9757218864657,1.46662994356302,41.3369285017252,0.523252259515509,225.589206531236,9,0.692307692307692,54,0.186851211072664,615.760689973831,0,2.73333333333333,3.47450980392157,0.510588235294118,0.630131119932636,138,1.59710144927536,0.284536082474227,73,1174,1832,0.640829694323144,0.120305676855895,0.402725873818422,13.2753623188406,32.963768115942,-2717,7,0.225806451612903,1,14,0.101449275362319,0.0288659793814433,2,5,28.9263870547647,0.598785518581281,43.4026779360138,0.594557232000189,202.552846904728,7,0.35,58,0.199312714776632,-218.667113780975,0,2.42061855670103,3.77731958762887,0.454432989690722,0.708712235384235
221.5,0.587197227655824,220.4,162.5,138,1.59710144927536,0.284536082474227,73,1174,1832,0.640829694323144,0.120305676855895,0.402725873818422,13.2753623188406,32.963768115942,-2717,7,0.225806451612903,1,14,0.101449275362319,0.0288659793814433,2,5,28.9263870547647,0.598785518581281,43.4026779360138,0.594557232000189,202.552846904728,7,0.35,58,0.199312714776632,-218.667113780975,0,2.42061855670103,3.77731958762887,0.454432989690722,0.708712235384235,110,1.47727272727273,0.236051502145923,64,745,1219,0.611156685808039,0.133305988515176,0.290722632959695,11.0818181818182,38.1181818181818,-2974,6,0.272727272727273,2,14,0.127272727272727,0.0300429184549356,4,4,24.6342567104083,0.617481048975606,36.5406543463469,0.57094772416167,166.784009843541,5,0.238095238095238,57,0.197231833910035,-65.7691836357113,0,1.59871244635193,2.61587982832618,0.348712446351931,0.55758309629067
137,0.263262225945503,162.5,221.5,110,1.47727272727273,0.236051502145923,64,745,1219,0.611156685808039,0.133305988515176,0.290722632959695,11.0818181818182,38.1181818181818,-2974,6,0.272727272727273,2,14,0.127272727272727,0.0300429184549356,4,4,24.6342567104083,0.617481048975606,36.5406543463469,0.57094772416167,166.784009843541,5,0.238095238095238,57,0.197231833910035,-65.7691836357113,0,1.59871244635193,2.61587982832618,0.348712446351931,0.55758309629067,134,1.65298507462687,0.248148148148148,79,1065,1413,0.753715498938429,0.156758669497523,0.307107150619431,10.544776119403,34.3358208955224,-3188,6,0.2,1,18,0.134328358208955,0.0333333333333333,2,6,39.1965022689946,0.977959039970302,45.8997859051451,0.581009948166394,243.416935730027,5,0.238095238095238,79,0.214673913043478,-300.585453212262,0,1.97222222222222,2.61666666666667,0.410185185185185,0.587197227655824
179.9,0.35003954887218,221.5,137,134,1.65298507462687,0.248148148148148,79,1065,1413,0.753715498938429,0.156758669497523,0.307107150619431,10.544776119403,34.3358208955224,-3188,6,0.2,1,18,0.134328358208955,0.0333333333333333,2,6,39.1965022689946,0.977959039970302,45.8997859051451,0.581009948166394,243.416935730027,5,0.238095238095238,79,0.214673913043478,-300.585453212262,0,1.97222222222222,2.61666666666667,0.410185185185185,0.587197227655824,73,1.87671232876712,0.109445277361319,46,670,719,0.931849791376912,0.190542420027816,0.141563299862178,9.84931506849315,69.5753424657534,-4360,2,0.0714285714285714,0,9,0.123287671232877,0.0134932533733133,1,4,22.0554348250241,0.221408173441887,22.6043534129858,0.491398987238822,112.393224283878,1,0.0714285714285714,40,0.087527352297593,253.841841220856,0,1.00449775112444,1.07796101949025,0.205397301349325,0.263262225945503
48.6,0.161405536135516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.6,0.0847942835761271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128.4,0.381125657563258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146.3,0.323949364493645,NA,128.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1.38064516129032,0.162020905923345,46,584,1000,0.584,0.1284,0.197277569540343,10.752688172043,54.505376344086,-4069,6,0.176470588235294,1,12,0.129032258064516,0.0209059233449477,2,4,1.28459122889825,0.186747589614244,29.1765109598637,0.634271977388341,155.479837271036,5,0.227272727272727,48,0.134078212290503,-969.515995681286,0,1.01742160278746,1.74216027874564,0.223693379790941,0.381125657563258
99.2,0.284029350046938,128.4,146.3,93,1.38064516129032,0.162020905923345,46,584,1000,0.584,0.1284,0.197277569540343,10.752688172043,54.505376344086,-4069,6,0.176470588235294,1,12,0.129032258064516,0.0209059233449477,2,4,1.28459122889825,0.186747589614244,29.1765109598637,0.634271977388341,155.479837271036,5,0.227272727272727,48,0.134078212290503,-969.515995681286,0,1.01742160278746,1.74216027874564,0.223693379790941,0.381125657563258,62,2.35967741935484,0.143518518518519,41,573,589,0.972835314091681,0.248387096774194,0.15524512387981,9.5,61.1935483870968,-3205,5,0.227272727272727,3,5,0.0806451612903226,0.0115740740740741,3,8,34.3642127794411,1.5717912549153,17.7912408076227,0.433932702624943,100.156758382567,2,0.117647058823529,41,0.144876325088339,346.834594011307,346.834594011307,1.32638888888889,1.36342592592593,0.338657407407407,0.323949364493645
