"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","WK3_WOPR","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","WK3_Predicted_FPpG_TE","Pred_Diff","Pred_Diff_Group","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Antonio Gates",2014,1,14.1,14.1,0.631739130434783,10,3400,-2.82690701529558,34.6,10.8125,3200,4.32523881443494,-4.60769080189461,"BOSS",3.75499667110372,3.75499667110372
"Antonio Gates",2014,2,24.35,15.35,0.575919895799414,8.5,3200,-4.00622356583044,1.8,0.295081967213115,6100,4.78404851973779,1.46287976079468,"carry on",4.93457191659013,3.91790760483195
"Antonio Gates",2014,3,16.8333333333333,10.8333333333333,0.440754203790084,6,6100,-3.55695131040185,6,1.36363636363636,4400,4.11381953292036,-0.0901778161037399,"carry on",4.10284454169706,3.29140294302192
"Antonio Gates",2014,4,14.1333333333333,8.13333333333333,0.29622641509434,4.33333333333333,4400,-3.09508425197829,22,6.28571428571429,3500,3.54064500930266,1.59716625143347,"carry on",3.75943258129912,2.85189995149433
"Antonio Gates",2014,5,9.93333333333333,5.93333333333333,0.271996753246753,4,3500,-2.17581077333177,11.7,1.91803278688525,6100,3.11869265913013,0.207089431221176,"carry on",3.15171910761942,2.43584345419268
"Antonio Gates",2014,6,13.2333333333333,7.23333333333333,0.38517601760176,6.33333333333333,6100,-2.63419454556157,15.1,3.08163265306123,4900,3.91933861155758,-2.12788181871275,"BOSS",3.63776488153555,2.68948570052591
"Antonio Gates",2014,7,16.2666666666667,8.26666666666667,0.431440972222222,6.33333333333333,4900,-3.44082953710416,22.4,4,5600,4.30429859391502,-2.26031971891211,"BOSS",4.03319558993445,2.87518115371304
"Antonio Gates",2014,8,16.4,8.4,0.411152755267423,7,5600,-3.68490000237274,5.8,1.09433962264151,5300,4.46206700530699,-3.51004195984927,"BOSS",4.04969134626332,2.89827534923789
"Antonio Gates",2014,9,14.4333333333333,8.43333333333334,0.400792696736877,6,5300,-3.34764379762615,6.2,1.24,5000,4.03855773251473,-1.87661522552118,"BOSS",3.79912270574844,2.90402020194993
"Antonio Gates",2014,11,11.4666666666667,7.46666666666667,0.345332473127686,5.33333333333333,5000,-2.25521211987313,3.4,0.68,5000,3.45106008137719,-0.443149018608461,"carry on",3.38624669312008,2.73252020425589
"Antonio Gates",2014,12,5.13333333333333,5.13333333333333,0.261472148541114,3.33333333333333,5000,-0.492261113527332,15.3,3.64285714285714,4200,2.25720983841568,0.0383370786927815,"carry on",2.26568606239552,2.26568606239552
"Antonio Gates",2014,13,8.3,8.3,0.248113546532519,4.33333333333333,4200,-0.874289330559577,8.4,1.78723404255319,4700,2.35695127244326,2.74478069932809,"carry on",2.88097205817759,2.88097205817759
"Antonio Gates",2014,14,9.03333333333333,9.03333333333333,0.356795346377578,6,4700,-1.51679224958448,17.4,3.86666666666667,4500,2.94797194726556,0.342794731468629,"carry on",3.00555042102663,3.00555042102663
"Antonio Gates",2014,15,13.7,11.7,0.418875481386393,7.66666666666667,4500,-2.2612696393847,28.2,5.64,5000,3.62469064150176,0.561617753409587,"carry on",3.70135110466435,3.42052627529741
"Antonio Gates",2014,16,18,12,0.401167004483754,8,5000,-4.87392651548762,10.7,1.8135593220339,5900,4.610503230616,-3.25674003952059,"BOSS",4.24264068711928,3.46410161513775
"Antonio Gates",2015,8,19.4333333333333,15.4333333333333,0.46019914452002,10.6666666666667,4800,-2.61878501858619,12.9,2.74468085106383,4700,4.15570863878639,2.16341904284949,"carry on",4.40832545682976,3.92852813828962
"Antonio Gates",2015,9,13.6666666666667,13.6666666666667,0.452926829268293,10.6666666666667,4700,-2.33584299744775,1.6,0.333333333333333,4800,3.96044465013761,-2.01845516013698,"Keep an Eye On",3.69684550213647,3.69684550213647
"Antonio Gates",2015,11,8.03333333333333,8.03333333333333,0.361820997897998,6.33333333333333,4800,-2.04590932639081,21.3,4.53191489361702,4700,3.22803955991207,-2.38690606702396,"Keep an Eye On",2.83431355593084,2.83431355593084
"Antonio Gates",2015,12,11.9333333333333,7.93333333333333,0.374933897408778,6.66666666666667,4700,-3.28533340900378,11,2.24489795918367,4900,3.93179982343365,-3.52571651821956,"BOSS",3.45446570880843,2.81661735657035
"Antonio Gates",2015,13,11.3,7.3,0.356077872744539,6,4900,-1.6892095901095,13.6,2.95652173913044,4600,3.2080995806729,1.00809708048638,"carry on",3.36154726279432,2.70185121722126
"Antonio Gates",2015,14,15.3,11.3,0.408771843707049,7.66666666666667,4600,-2.42672208909302,14.8,3.21739130434783,4600,3.65395102008791,1.94864194279851,"carry on",3.91152144312159,3.36154726279432
"Antonio Gates",2015,15,13.1333333333333,13.1333333333333,0.467397827717799,8.66666666666667,4600,-0.704857863333211,3.1,0.62,5000,3.06730975006601,3.72494423048332,"carry on",3.62399411331384,3.62399411331384
"Antonio Gates",2015,16,10.5,10.5,0.327884128431075,6.33333333333333,5000,-1.28348947755526,12.4,2.58333333333333,4800,2.83341160185637,2.47177869446572,"carry on",3.24037034920393,3.24037034920393
"Antonio Gates",2016,1,5,5,0.223171336474089,4,4200,-1.91871837842999,10.5,2.33333333333333,4500,2.66700522176563,-2.11291685292513,"Keep an Eye On",2.23606797749979,2.23606797749979
"Antonio Gates",2016,2,7.75,4.75,0.280678089682829,4.5,4500,-1.755394053164,13,3.25,4000,3.08848546273227,-1.78874245350858,"Keep an Eye On",2.78388218141501,2.17944947177034
